parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,scenario
lambda1,0.048811904256690936,3.158208318574704e-5,0.0013358686682085703,0.0462553236710602,0.047885650370117536,0.048804586270030745,0.049735071715767964,0.05140877213809456,1789.1468230626983,1.0041366526931843,Neutral
lambda2,0.0416178992994032,3.159177318584409e-5,0.0012811716026395826,0.03912840271536819,0.04074759763036499,0.04158753199981496,0.042490972231923586,0.04414951138856197,1644.6239195148846,1.006264109531398,Neutral
sigma12,0.9226124590573613,0.0013165692886892499,0.05334843171018786,0.8211118106753956,0.8858940680588762,0.9216649109592544,0.9575072551850078,1.0313852996718489,1641.9346710767704,1.0062738910575912,Neutral
sigma21,1.0559761043860671,0.001385356934164442,0.05724488876196245,0.9484896464606386,1.015067733916195,1.0544408576662971,1.0937743594839993,1.1712169203442224,1707.4581422582453,1.00499543348165,Neutral
lambda1,0.048184232125645335,5.163345493160178e-5,0.0017783479970937663,0.04475326508963184,0.04695082152815178,0.0481591233259028,0.049389435535521956,0.051761347889445086,1186.2360784270738,1.005295985907714,Symmetric ADE
lambda2,0.04210754537174134,5.08586532597419e-5,0.0017511128003007532,0.03862125320690673,0.04094071343060146,0.04211069358595304,0.04332504679695465,0.04555075335987136,1185.4917434432623,1.005237752147912,Symmetric ADE
sigma12,1.8616656213651661,0.003803432154728893,0.13120837178174402,1.6217582346599306,1.7684891917400807,1.8578989186565567,1.9466617208967598,2.13847831821125,1190.067910541396,1.0049105710755695,Symmetric ADE
sigma21,2.1597591181443914,0.004266247702856525,0.14836893162586656,1.8795601226419159,2.0554953372863967,2.1555612097150316,2.2597879449513423,2.4612516820707793,1209.4663893725121,1.0049612959078549,Symmetric ADE
lambda1,0.04993019388926295,2.434919997669312e-5,0.001197286223488053,0.047641463509108195,0.04911843698219653,0.04993021626136111,0.05071845167170294,0.052284253708943705,2417.83454158827,0.9998185605465989,Symmetric Protection
lambda2,0.04053526952280407,2.3782618132856604e-5,0.0011450370416883513,0.03830298823936968,0.03974698276647817,0.040526945826817956,0.041311151031896164,0.04273096288985129,2318.0337087440143,1.0004879014209551,Symmetric Protection
sigma12,0.4763128590111616,6.826044553015025e-4,0.03194924719093891,0.41797245743941636,0.4542941475075438,0.47515128456472555,0.4979152516959396,0.5422966977361245,2190.700573083514,1.0003221556113082,Symmetric Protection
sigma21,0.5146659777554055,6.625429377433457e-4,0.0314365793984995,0.4556673238198819,0.49305103273575895,0.5144802892075584,0.5356292585101415,0.5767770375253831,2251.3473784535445,0.9999505725713416,Symmetric Protection
lambda1,0.049745848756339986,2.5622978865953744e-5,0.0011991281834781728,0.04736587864193088,0.04893327406840465,0.04975465241343583,0.05054747929800495,0.052120961997010294,2190.140540048172,1.0007539807555674,ADE vs Protection
lambda2,0.03984534398407361,2.5577408709211273e-5,0.0011725659120529336,0.03759444294651656,0.03903739609308266,0.03982659233920463,0.040616632592644884,0.042203785643604684,2101.655083422945,1.0011132021689197,ADE vs Protection
sigma12,2.0311946696960845,0.0021030030010820186,0.09591758213392448,1.8454410639258743,1.9653173963678168,2.0303115867462744,2.094940138637624,2.219826590068402,2080.255411289909,1.0009693547964293,ADE vs Protection
sigma21,0.49923303109233425,7.123686508336585e-4,0.032016584126023574,0.43889170378631176,0.4773577736905613,0.49807131817646616,0.5202947350197685,0.5648284353402206,2019.9489384152232,1.0012423967842383,ADE vs Protection
lambda1,0.050968992342537496,2.6252237028098777e-5,0.0012620261549410748,0.048515830231840126,0.05011439759932223,0.05096931583632795,0.051808965580189714,0.05351469925491588,2311.0219879638066,0.9998159288199977,Protection vs ADE
lambda2,0.04006258855421323,2.576374909738292e-5,0.0012261974413562721,0.037684312760788666,0.03923993355021127,0.04005914382540859,0.040886991276515516,0.04243834699479184,2265.1798462469083,1.0004360346066639,Protection vs ADE
sigma12,0.5039864786380612,7.677090283480661e-4,0.035959491881021044,0.43778018748974407,0.47911922835201626,0.5028919586335168,0.5273522111243029,0.578200269522453,2193.9857211953376,1.0003687766405724,Protection vs ADE
sigma21,1.87503375724367,0.0018531387602414764,0.0891556326347058,1.7008847410686858,1.8161795350712349,1.8734197683928273,1.933694237525735,2.0562273533507303,2314.630611014903,1.0003402116602402,Protection vs ADE
lambda1,0.04903977475822883,3.615847787560534e-5,0.0014355952710993285,0.04617765296586078,0.04809169366591047,0.04904541337945026,0.050010770101091784,0.051779731812561305,1576.3177206687333,1.0002307249333735,One-sided ADE σ[12]
lambda2,0.041492775663696475,3.300955334020441e-5,0.0013748716284490402,0.03876686772045045,0.040544945303674196,0.04150887337950737,0.04242003728837747,0.04424483784300313,1734.7823880706114,0.9996715039893532,One-sided ADE σ[12]
sigma12,1.9014522589000604,0.0025292319292594323,0.10363060646431567,1.7038375061230875,1.829567787348521,1.8982642121031439,1.9703137528228676,2.11363336093377,1678.7992555603137,0.9996158722959861,One-sided ADE σ[12]
sigma21,1.0219333071459906,0.0015578124130103254,0.06026611904663446,0.909958268516504,0.980330099229102,1.0202897199285275,1.0610758678919339,1.147450168473856,1496.6358022214506,1.0001211750746766,One-sided ADE σ[12]
lambda1,0.04841142982070186,3.233557094225094e-5,0.0014306371053805808,0.04571250533424512,0.047436792538911546,0.04838528242133963,0.049343406703267874,0.051346400759498506,1957.482564629583,1.0000053477308244,One-sided ADE σ[21]
lambda2,0.04205230566550105,3.1903307147253855e-5,0.001400491206326022,0.03930212733669067,0.04111897264831994,0.042091688342048086,0.04299758097369099,0.044702092681137125,1927.03393390221,1.000371346691328,One-sided ADE σ[21]
sigma12,0.9137723048948003,0.001366566484022142,0.058768232478048306,0.8068386845123356,0.873504043175757,0.9105218528450689,0.9520466886102672,1.033665008936188,1849.3696566906106,1.000386778887648,One-sided ADE σ[21]
sigma21,2.084428095190018,0.002578903667054793,0.11432731149583049,1.860666006763944,2.006278572254306,2.0841572815512732,2.1597250780299118,2.311405788881438,1965.3040186583419,1.0001214267084502,One-sided ADE σ[21]
